album,song_title,multi_verse,multi_bridge,core_title,common_id,intro_chordsTransposed,verse_chordsTransposed,pre_chorus_chordsTransposed,chorus_chordsTransposed,post_chorus_chordsTransposed,bridge_chordsTransposed,outro_chordsTransposed
Lover,cruel summer,False,False,cruel summer,104,A,D-E-C#m-F#m,D-E-C#m-F#m,A-C#m-F#m-D,NONE,A-C#m-F#m-D,BRIDGE
Fearless (Taylor's Version),white horse (taylor's version),False,False,white horse taylors version,54,C-F-Am-F,C-F-Am-F,Am-F-G,C-Am-F-G,NONE,Am-G-F-C-G-F-Bb,Am-F-C-F
The Tortured Poets Department,loml,False,False,loml,211,C-Am-G,C-Am-G,NONE,C-Am-G,F-Am-G-C-Am-G,Dm-Em-F-G-C,NONE
The Tortured Poets Department,the bolter,False,False,the bolter,220,C,C-G-F,NONE,C-G-F,NONE,G-Am-C,NONE
RED (Taylor's Version),the very first night (taylor's version) (from the vault),False,False,the very first night taylors version from the vault,138,CHORUS,G-D-Em-C,Am-C-G-D,C-G-D-C-Em-D,C-Em-D-C,C-G-D-Em-A-C-D,NONE
1989 (Taylor's Version),out of the woods (taylor's version),False,False,out of the woods taylors version,14,NONE,C-G-Am-F,NONE,C-G-Am-F,NONE,C-G-Am-F,NC
1989 (Taylor's Version),is it over now? (taylor's version) (from the vault),False,False,is it over now? taylors version from the vault,9,C-F-Am-F,C-F-Am-F,C-F-Am-F,C-F-Am-F-C,C,C-F-Am-F-C,F-Am-F-C
Evermore,champagne problems,False,False,champagne problems,39,NONE,C-G-Am-F,NONE,C-G-Am-F,NONE,C-G-Am-F,C-G
The Tortured Poets Department,the alchemy,False,False,the alchemy,213,NONE,C-F-C-F-G,F-C,C-F-Am-F,C-F-Am-F,C-C-D-G-C,C-F-
Lover,the archer,False,False,the archer,106,NONE,G-Am-F,C-G-Am-F,C-F-Am-F,NONE,C-G-Am-F,C-F-Am-F
Midnights,labyrinth,False,False,labyrinth,118,C-F-Am-F,C-F-Am-F,Am-F-Am-F,C-F-Am-F,C-F-Am-F,NONE,NONE
Reputation,getaway car,False,False,getaway car,180,N.C,C-G-Dm-F,C-G-Dm-F,C-Dm-F,NONE,D-A-Em-GD-A-Em-Gm,D-A-Em-G
Fearless (Taylor's Version),we were happy (taylor's version) (from the vault),False,False,we were happy taylors version from the vault,78,C-G-F,C-G-F-Am,NONE,C-G-Am-F,NONE,Am-F-C-G,Am-F-C-G-F
RED (Taylor's Version),all too well (10 minute version) (taylor's version) (from the vault),True,True,all too well 10 minute version taylors version from the vault,143,C-G-Am-F,C-G-Am-F,C-G-Am-G-F-G-C-G,C-G-Am-F,NONE,C-G-Am-F,F-G-C-Am
Midnights,bejeweled,False,False,bejeweled,123,G,C-Dm-Am-G,NONE,C-Dm-Am-G,C-Dm-A-G,C-C-G,Dm-Am-G-C
RED (Taylor's Version),all too well (taylor's version),True,False,all too well taylors version,166,C-G-Am-F,C-G-Am-F,C-G-Am-G-F,C-G-Am-F,NONE,C-G-Am-F,C-G-Am-F
Folklore,betty,True,False,betty,95,C-G-Am-G-F,C-G-Am-G-F,C-G-Am-G-F,C-G-Am-G-F-C,NONE,Am-G-F-G-C,D-A-G-A
RED (Taylor's Version),the moment i knew (taylor's version),False,False,the moment i knew taylors version,157,C-G-D,C-G-D,NONE,C-G-D,NONE,C-G-D,C-G-D
Folklore,my tears richochet,False,False,my tears richochet,85,Am-G-Em-F,Am-G-Em-F,NONE,C-Dm-Am-F,NONE,C-Dm-Am-F,C-Dm-Am-F
Lover,cornelia street,False,False,cornelia street,111,C-G-F,C-G-Am-F,G-Am-F,C-G-Am-F,NONE,G-Am-F,C-G-Am-F
Reputation,delicate,False,False,delicate,173,CHORUS,C-Dm-Am-F,NONE,C-Dm-Am-F,C-Dm-Am-F,NONE,C-Dm-Am-F
RED (Taylor's Version),we are never ever getting back together (taylor's version),False,False,we are never ever getting back together taylors version,160,C-G-D-Em,C-G-D-Em,C-G-D-Em,C-G-D-Em-D,D-Em,C-G-D-Em,G-D-Em-D
Speak Now(Taylor’s Version),mine (taylor's version),False,False,mine taylors version,182,C-G-D-Em,C-G-D-Em,C-G-D,C-G-D-Em-D,NONE,Em-C-D-C,C-G-D-Em-D
Lover,daylight,False,False,daylight,101,NONE,C-G-F,NONE,C-G-Dm-F,C-G-Dm-G,C-G-Dm-F,C-G-Dm-F
Reputation,king of my heart,False,False,king of my heart,177,NONE,C-G-Dm-F,C-G-Dm-F,C-G-Dm-F,C-G-Dm-F,G-Dm-F-C,NONE
1989 (Taylor's Version),i know places (taylor's version),False,False,i know places taylors version,21,Am-F-Dm-E,Am-F-Dm-E,Am-F-Dm-E,C-G-Dm-F,NONE,C-G-Dm-F,Am-F-Dm-E
The Tortured Poets Department,who's afraid of little old me?,True,True,whos afraid of little old me?,217,Dm,Dm-F-Am-G,NONE,C-G-Dm-F-C,Am-G-F-C-Em,Dm-F-Am-G,C-G-Dm-F
Fearless (Taylor's Version),come in with the rain (taylor's version),False,False,come in with the rain taylors version,56,D-A-Em-G,D-A-Em-G,Em-D-G-A,C-D-G-Em,NONE,Em-G-D-A,D-A-Em-D
Midnights,paris,False,False,paris,120,C-D-G-Em,C-D-G,C-D-G,C-D-G,NONE,C-D-G,C-D-G
RED (Taylor's Version),begin again (taylor's version),True,False,begin again taylors version,161,G,G-C-G-C,NONE,C-D-Em-G,NONE,C-D-Bm-C,C-D-NC
Midnights,maroon,False,False,maroon,124,C-G-Em-D,C-G-Em-D,NONE,C-G-Em-D,NONE,C-G-Em-D,C-G-Em-D
Reputation,gorgeous,False,False,gorgeous,179,C,C-C-G-Am-F-G,F7/C-Em-F-Em-G,C-C/Am/F/G,NONE,F-Am-G-Dm,C-C-Am-F
The Tortured Poets Department,the black dog,False,False,the black dog,215,C,C-Em-F-G,F-Am-G-F,C-G-Em-F,NONE,F-C-G-Am,C-G-Em-F
The Tortured Poets Department,the tortured poets department,False,False,the tortured poets department,206,NONE,C-F-Am-G,NONE,C-F-Am-G,NONE,C-F-Am-G,Am-G-C-F
Folklore,seven,False,False,seven,87,NONE,G-Dm-C,NONE,Dm-C-F-G,NONE,Am-C-G,Am-C-G-C
Fearless (Taylor's Version),jump then fall (taylor's version),False,False,jump then fall taylors version,73,D-A-G,D-A-G,G-A,D-A-G,NONE,Em-G-D-A-C-Em-A,D-A-G
Reputation,ready for it?,False,False,ready for it?,175,Em  Em  Em  Em,Em-Em-Em-Em,Em-Em-Em,G-Am-Em-C,Em-C-Em-C,C-G-Am-Em,NONE
The Tortured Poets Department,so high school,True,False,so high school,208,C-G-D,C-G-D,NONE,G-C-Em-D,C-G-D,Am-G-C-D,BRIDGE
Fearless (Taylor's Version),today was a fairytale (taylor's version),False,False,today was a fairytale taylors version,74,G-C-Em-D,G-C-Em-D,C-Em-D,G-C-Em-D,NONE,C-Em-D,G-C-Em-D-G
RED (Taylor's Version),message in a bottle (taylor's version) (from the vault),False,False,message in a bottle taylors version from the vault,142,G,G-C-Em-D,G-C-Em-D,G-C-Em-D,NONE,C-G-C-Em-D,G-C-Em-D-G
The Tortured Poets Department,thank you aimee,True,False,thank you aimee,209,C-G-C-G,C-GD,C-G-D,G-C-D,NONE,Em-Am-G-D,C-G-D
The Tortured Poets Department,robin,False,False,robin,233,C-F-G-F,C-F-G-F,Am-F-G-C,G-C-Am-F,NONE,Em-F-G-Em-F-G-C-Am-F,NONE
Speak Now(Taylor’s Version),foolish one (taylor's version) (from the vault),False,False,foolish one taylors version from the vault,202,NONE,G-C-Am-C-G-D,C-G-D-C-D,G-C-Am-D,NONE,Em-C-G-D,G-C-Am-D
Lover,miss americana & the heartbreak prince,False,False,miss americana & the heartbreak prince,102,G-A-G-A,Bm-A-G-A,G-Bm-A-G-,G-Bm-A,NONE,G-Bm-A,NONE
Midnights,dear reader,False,False,dear reader,117,G-Am-F,F-Am-G,NONE,G-Am-F,NONE,F-Am-G,Am-G-F-Am-G
Taylor Swift,picture to burn,False,False,picture to burn,22,NONE,G-Am-C-D,NONE,G-Am-C-D,NONE,C-D-C-C9-D,NONE
The Tortured Poets Department,my boy only breaks his favorite toys,False,False,my boy only breaks his favorite toys,207,NONE,F-Am-Em-F,F-G,F-C-G-Em,NONE,F-C-G-Am,C-G-DM-F
Reputation,so it goes…,False,False,so it goes…,167,Bsus4,Bm-Asus2-G-Asus2-G,Bsus4-Asus2-G-Asus2,G-A-G-A,G-A-G-A,Asus2-Bsus4-Asus2-G,NONE
Taylor Swift,i heart?,False,False,i heart?,33,G-A-C-D,G-A-C-G,Em-A-C-D,G-A-C-D,NONE,Em-A-C-G-D,NONE
RED (Taylor's Version),nothing new (taylor's version) (from the vault),False,False,nothing new taylors version from the vault,149,NONE,C-Am-Em-F-G,F-G,F-G-C-G-Am-G-C,NONE,F-G-C-Am-Em-F,NONE
RED (Taylor's Version),ronan (taylor's version),False,False,ronan taylors version,150,C-Am-F,C-Am-F-G,NONE,F-G-C-Am-F,F-Am-G,C-Am-F-G,NONE
Lover,the man,False,False,the man,105,NONE,F-G-C-Am,F-G-C-Am,F-G-C-Am,NONE,F-G-C-Am,NONE
Evermore,cowboy like me,True,False,cowboy like me,42,NONE,Dm-G-C-F,F-C-F-G-Dm-G,F-G-C,NONE,Am-Em-G-D,G-C-C-F-G
The Tortured Poets Department,i can do it with a broken heart,False,False,i can do it with a broken heart,212,NONE,C-F,Am-F-C,F-G-C,NONE,NONE,F-G-C-Bb-C-Am-F-G
Reputation,this is why we can't have nice things,False,False,this is why we cant have nice things,178,NONE,N.C-F-Bb,Gm-C,F-Dm-Bb-C,NONE,F-Bb-C,NONE
Speak Now(Taylor’s Version),long live (taylor's version),True,False,long live taylors version,194,G-C-Em-D-C,G-C-Em-D-C,NONE,G-C-Em-D-C,NONE,NONE,NONE
RED (Taylor's Version),stay stay stay (taylor's version),False,False,stay stay stay taylors version,139,C-F-Am-G,C-F-Am-G,NONE,G-C-F-Am-G,NONE,Am-F-C-G,NONE
Speak Now(Taylor’s Version),when emma fall in love (taylor's version) (from the vault),True,False,when emma fall in love taylors version from the vault,196,D-A-Em-G,D-A-Em-G,NONE,G-D-A-C-G,NONE,Em-G-D-A,NONE
Speak Now(Taylor’s Version),superman (taylor's version),False,False,superman taylors version,199,G-D-Am-C,G-D-Am-C,D-Em-C-G-D,G-D-Am-C,NONE,Am-C-G-D,NONE
Midnights,midnight rain,False,False,midnight rain,119,NONE,F-C-C-G-Am-F,C-G-Am-F-C-G-Am,NONE,NONE,F-C-G-Am,NONE
The Tortured Poets Department,the manuscript,True,False,the manuscript,105,C-G-G-F,C-G-G-F,NONE,NONE,NONE,G-Am-F-G-C-F,NONE
1989 (Taylor's Version),bad blood (taylor's version),False,False,bad blood taylors version,19,N.C,C-G-D-Em,C-G-D-Em,N.C-C-G-D-Em,NONE,C-G-D-Em,NONE
The Tortured Poets Department,florida!!! (featuring florence + the machine),True,False,florida!!! featuring florence + the machine,218,NONE,F-Am-G,F-Am-G,G-F-G-F,NONE,G-F-C-G-Am-F-C,NONE
1989 (Taylor's Version),'slut!' (taylor's version) (from the vault),False,False,slut! taylors version from the vault,12,D,D-Bm-F#m-G,D-Bm-F#m-G,G-F#m-Bm-A,NONE,D-Bm-F#m,G-F#m-Bm-NC
Fearless (Taylor's Version),fifteen (taylor's version),False,False,fifteen taylors version,68,G-C-Em-C,G-C-Em-C,NONE,G-Em-D-C,G-C-Em-C,C-Em-D-G-D,G-C-Em-C
RED (Taylor's Version),sad beautiful tragic (taylor's version),False,False,sad beautiful tragic taylors version,164,G-D-Am-C,G-D-Am-C,NONE,G-D_Am-C,NONE,Am-C-G-D-Am-G-C,NONE
Lover,false god,False,False,false god,112,NONE,Em7-A-D7-G-A-D7,Em7-Em7-D7-G-G-D7,G-D7-A-G,NONE,NONE,G-G-A-D7-G
Taylor Swift,invisible,False,False,invisible,35,G-Cadd9-Em7-Cadd9,G-D-Am-C,C-D,G-D-Em7-D,NONE,G-D-Em-C,G-D-Am-C
Fearless (Taylor's Version),tell me why (taylor's version),False,False,tell me why taylors version,79,NONE,C-G-D-Em,NONE,G-D-Em-C,NONE,Em-C-G-D-A-G-D,C-G-D-Em-G
Speak Now(Taylor’s Version),electric touch(taylor's version) (from the vault),False,False,electric touchtaylors version from the vault,198,G-Am-Em-C,G-Am-Em-C,NONE,G-D-Em-C,NONE,C-Em-C-D,NONE
1989 (Taylor's Version),welcome to new york (taylor's version),False,False,welcome to new york taylors version,18,C,C,NONE,G-D-C/G-D-C-Em,NONE,Em-D-C/G-D-C,NONE
Lover,lover,False,False,lover,103,G-D-C-C-G-Em-C-C,G-D-C,NONE,G-D-C-G-Gm-D-C,NONE,G-D-Em-F,G-G-Em-D-C
RED (Taylor's Version),22 (taylor's version),False,False,22 taylors version,156,G-D-C-D,G-D-C-D,G-D-C-D-C,G-D-C-Em-D,NONE,NONE,C-Em-D-G
Midnights,would've could've should’ve,True,False,wouldve couldve should’ve,125,D-Em-Gm,D-Em-G,D-Em-G-D,G-D-C,NONE,G-D-C-G-D,BRIDGE
Evermore,willow,True,False,willow,38,Em-D-Em-D,Em-D-Em-D,NONE,G-D-Am-Em,NONE,Bm-Em-Am-G,D-Am-Em
Speak Now(Taylor’s Version),speak now (taylor's version),True,False,speak now taylors version,188,G,G-D-Am-C,Am-C-G-D,G-D-Am-C,NONE,Em-C-G-D-Am-C-D,NONE
Reputation,end game,False,False,end game,172,CHORUS,F-C-G,F-C-Dm-Em,F-C-G-F-C-N.C,NONE,NONE,NONE
Taylor Swift,cold as you,False,False,cold as you,28,Dm-C-Bb-Dm-C-F,F-C-Dm-Bb,NONE,F-C-Em-Bb,NONE,Dm-C-Bb-C,NONE
Taylor Swift,mary's song (oh my my my my),False,False,marys song oh my my my my,25,D-A-G-D-G,D-A-G-Em-A,NONE,D-A-G,NONE,D-A-G,D-A-G-Em-D
Taylor Swift,our song,False,False,our song,26,D-Em-G-A,D-Em-G-A,NONE,D-Em-G-A,NONE,Em-G-D-A,D-Em-G-A-D-Em-G
RED (Taylor's Version),state of grace (acoustic version) (taylor's version),False,False,state of grace acoustic version taylors version,152,D-G,D-G-D-G,D-G,D-G-F#m-G,NONE,D-G-Em-F#m-G,G-G-Em-F#m-G
Taylor Swift,tied together with a smile,False,False,tied together with a smile,30,D-G-A,D-G-Em-D-G,NONE,D-G-Em-A,NONE,NONE,NONE
Folklore,the last great american dynasty,False,False,the last great american dynasty,90,G,G-Am-Em-C,NONE,D-G-C-G-Am-C,NONE,Am-Em-G-D,D-G-C-G
The Tortured Poets Department,clara bow,True,False,clara bow,221,D-Bm-A-G-F#m,D-Bm-A-G-F#m,D-Em-F#m-Em,D-G-Bm-D,NONE,D-G-Bm-D,Bm-A-G-F#m
Folklore,mirrorball,False,False,mirrorball,93,G,D-G-Bm,NONE,D-G-Bm,NONE,D-G-Bm,G-Bm-G-D
Lover,paper rings,False,False,paper rings,98,NONE,D-D-A-Bm,D-A-Bm,D-G-A,D-A-Bm,E-A-B-E,E-A-B-E
Speak Now(Taylor’s Version),back to december (taylor's version),False,False,back to december taylors version,193,D-Bm-G,D-BmG-D-A,NONE,D-F#m-G-D-A,NONE,Bm-G-D-A,D-Bm-G
Lover,it's nice to have a friend,True,False,its nice to have a friend,97,Am-G,Am-G,NONE,NONE,NONE,NONE,Am-G
Lover,you need to calm down,False,False,you need to calm down,108,D-G,D-G-G,D-D-G,D-D-G-G-,NONE,D-G-G,NONE
RED (Taylor's Version),i bet you think about me (taylor's version) (from the vault),True,False,i bet you think about me taylors version from the vault,158,NONE,C-Em-Am-G-F-G,NONE,F-C-Em-Am-G-F,G-C-EmAm-G-F-G,F-C-G-Am-G-F,G-C-Em-Am-G-F
Speak Now(Taylor’s Version),never grow up (taylor's version),False,False,never grow up taylors version,185,D-D-Bm-A,D-D-Bm-A-G-A,G-Bm-G-A,D-D-Bm-A,NONE,G-D-A,D-D-Bm-A
Fearless (Taylor's Version),you all over me (taylor's version) (from the vault),False,False,you all over me taylors version from the vault,76,D-A-Bm-G,D-A-Bm-G,NONE,D-Bm-G-A-D,NONE,NONE,A-D-Bm-G
The Tortured Poets Department,i hate it here,False,False,i hate it here,204,NONE,Bm-D-G,NONE,D-Bm-A-G,NONE,A-G-Em-Bm,G-D-Bm-A-G-D
RED (Taylor's Version),the last time (taylor's version),False,False,the last time taylors version,155,G-A-Bm-D-A,G-A-Bm-A,G-A-Bm-D,D-Bm-A-G,NONE,G-A-Bm-D,D-Bm-A-G
Evermore,ivy,True,False,ivy,41,NONE,Bm-A-G-Em-F#m,NONE,D-Bm-A-Bm-D,NONE,D-G-A-D-G-A,NONE
The Tortured Poets Department,guilty as sin?,False,False,guilty as sin?,216,NONE,Bm-G-Bm-G,NONE,D-A-G-D-F#m-G-A-Bm,NONE,A-G-D,A-G-D-A-G
1989 (Taylor's Version),style (taylor's version),False,False,style taylors version,13,NONE,Bm-G,Em-F#m-G,D-A-G-A-Bm,NONE,D-A-G,NONE
1989 (Taylor's Version),how you get the girl (taylor's version),False,False,how you get the girl taylors version,20,D-A-G,D-A-G,D-A-G,D-A-G,NONE,D-A-G,D-A-G
Speak Now(Taylor’s Version),enchanted (taylor's version),False,False,enchanted taylors version,195,Ab-Cm-Db-Ab,Ab-Cm-Db-Ab-Fm-Eb,NONE,Db-Ab-Eb-Db,NONE,Db-Fm-Eb-Ab,Ab-Cm-Db-Ab
Speak Now(Taylor’s Version),sparks fly (taylor's version),False,False,sparks fly taylors version,186,Dm-Bb-F-C,Dm-Bb-F-C,NONE,Dm-Bb-F-C,NONE,Dm-Bb-F-C,NONE
Speak Now(Taylor’s Version),haunted (taylor's version),False,False,haunted taylors version,192,Dm-Bb-F-C,Dm-Bb-F-C,Dm-Bb-Am-Bb-C,Dm-Bb-F-C,NONE,Dm-C-Bb,Dm-Bb-F-C
The Tortured Poets Department,peter,False,False,peter,234,C-Em-Am-G-F-G,C-Em-Am-G-F-G,Am-G-F,Dm-F-Am-G,NONE,C-Am-F-G,NONE
Midnights,sweet nothing,False,False,sweet nothing,121,F-C-Dm-C,F-C-Dm-C,NONE,F-C-Dm-C,NONE,F-Em-Dm-C,NONE
Evermore,long story short,True,False,long story short,43,C,F-C_Am-G,NONE,F-C-Am-G-F,C-Am-G-C-F-Em-C,Am-Em-Dm-Am-Em-F-G,F-C-Am-G
Lover,i forgot that you existed,False,False,i forgot that you existed,99,NONE,F-Bb-C  F-Bb-C,NONE,F-Bb-C,NONE,Bb-Dm-C-C,NONE
Reputation,dress,False,False,dress,169,NONE,F-Am-G-C-C,F-Am-G-C-C,F-Am-G-C-C,NONE,F-Am-G-C-C,F-Am-G-C-C
Folklore,the lakes,False,False,the lakes,91,D-F#m-Em-Bm,D-F#m-Em-Bm,NONE,F#m-G-Bm-A,NONE,D-F#M-Em-Bm,D-F#m-Em-Bm
Lover,london boy,False,True,london boy,107,F#-D#m-A#m,F#-D#m-A#m,NONE,F#-D#m-B-C#m,NONE,F#-D#m-B-C#,BRIDGE
Speak Now(Taylor’s Version),castles crumbling taylor's version) (from the vault),True,False,castles crumbling taylors version from the vault,203,C-C-Em-D,Em-C-G-D,NONE,Em-C-G-D,NONE,NONE,Em-C-G-D
Taylor Swift,should've said no,False,False,shouldve said no,29,Em-C-D-G-Em-C-D,G-D-Em-C,NONE,Em-C-D-G-D,NONE,Em-C-A,NONE
RED (Taylor's Version),forever winter (taylor's version) (from the vault),False,False,forever winter taylors version from the vault,147,C-G-D,C-G-D,C-G-D,Em-C-D,C-Em-D-C,C-Em-D,C-G-D
Lover,i think he knows,False,False,i think he knows,100,Bb-Gm,Bb-Gm,Bb-Bb-Gm-Gm,Eb-F-Bb-Gm,NONE,Bb-Dm-Dm-Eb-F,NONE
Speak Now(Taylor’s Version),timeless (taylor's version) (from the vault),False,False,timeless taylors version from the vault,200,Eb-Bb-Cm-Bb-Ab,Eb-Bb-Cm-Bb-Ab,NONE,Eb-Bb-Cm-Bb-Ab,NONE,Bb-Cm-Ab-Eb,NONE
Lover,death by a thousand cuts,False,False,death by a thousand cuts,114,CHORUS,E-E-G#m-A-B,NONE,E-E-C#m-E-A-C#m-E-A-C#m-F#m-Bsus4-B,NONE,E-E-G#m-A-B,E-E-C#m-E-A-C#m-F#m-Bsus4-B
Speak Now(Taylor’s Version),innocent (taylor's version),False,False,innocent taylors version,197,C#m-B/D#-E-Asus2,C#m-B/D#-E-Asus2,Bsus4-C#m-Asus2,E-Bsus4-C#m7-Asus2,NONE,C#m-E-Asus2-Bsus4-C#m-E,C#m-B/D#-E-Asus2
Speak Now(Taylor’s Version),mean (taylor's version),False,False,mean taylors version,190,NONE,C#m-B-A,B-E-A-B,E-B-C#m-A,NONE,E-A-B-C#M-B-A,NONE
Speak Now(Taylor’s Version),the story of us (taylor's version),False,False,the story of us taylors version,191,B-C#M-E-A,E-B-A,B-C#m-A-E,E-B-A-C#m-B-A,NONE,E-A-C#m-B-A,NONE
Speak Now(Taylor’s Version),dear john (taylor's version),False,False,dear john taylors version,189,E-Asus2,E-Asus2-B-C#m-B,NONE,E-A-C#m-B-A-Asus2,NONE,C#m-B-A-Asus2,E-Aus2
The Tortured Poets Department,chloe or sam or sophia or marcus,False,False,chloe or sam or sophia or marcus,205,NONE,F-C-F-G,NONE,Dm-G-C-F,NONE,Am-G-F-C-F-G,F-Am-G-F-G
Folklore,invisible string,True,False,invisible string,35,G-F#m-Em-Bm,G-F#m-Em-Bm,NONE,D-Em-G-F#m-Em-Bm,NONE,Am-G-D,Am-G-D
